,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:47:09.033 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:09.033 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:09.033 -> S-0.01 -3.76 111.02 0.11,,,,
17:47:09.033 -> S-0.01 -3.73 111.02 0.11,,,,
17:47:09.033 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -3.73 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -3.89 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -3.95 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -4.01 111.02 0.11,,,,
17:47:09.071 -> S-0.01 -4.04 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.13 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.22 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.28 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.22 111.02 0.11,,,,
17:47:09.106 -> S-0.01 -4.25 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.25 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.36 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.44 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.36 111.02 0.11,,,,
17:47:09.144 -> S-0.01 -4.10 111.02 0.11,,,,
17:47:09.179 -> S-0.01 -3.82 111.02 0.11,,,,
17:47:09.179 -> S-0.01 -3.70 111.02 0.11,,,,
17:47:09.179 -> S-0.01 -3.95 111.02 0.11,,,,
17:47:09.179 -> S-0.01 -4.33 111.02 0.11,,,,
17:47:09.179 -> S-0.01 -4.61 111.02 0.11,,,,
